MEAL,Cals (kcal),Prot (g),Fat (g),Carb (g),TotFib (g),Sugar (g),,Course,Quantity,Measure,Wgt (g),,FatCals (kcal),SatCals (kcal),,Carb (g),TotFib (g),TotSolFib (g),,MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakfast Bowl with Smoky Tomato Sauce,417.07,22.55,17.44,46.42,10.3,12.2,,,,,569.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremini & Shiitake Mushroom Soup,326.05,12.76,15.07,35.44,13.93,7.22,,Lunch,1,Serving,340.5,,134.76,21.27,,35.44,13.93,0.01,,1.78,0.36,13.42,15.07,2.36,9.15,2.09,0,0,101.42,790.8,39.54,79.08,0,461.37,0.05,0.18,1.83,2.22,0.17,0.02,1.21,10.97,4.76,0.11,0.8,20.47,20.47,4.39,0.77,98,0.09,0.18,0.01,0.68,4.49,57.4,0.24,2.17,171.41,663.99,7.51,665.44,1.54,0.05,0.55,0.57,0,8.54
cannellini beans,94.12,5.87,0.4,16.75,9.7,0.4,,,1,Ounce-weight,28.35,,3.57,0.77,,16.75,9.7,0,,0,0,6.66,0.4,0.09,0,0,0,0,0,4.82,0.24,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.48,0,0,0,0,2.18,42.52,0,0,100.92,391.22,0,0,0.94,0,0,0,0,0
white onion,13.61,0.37,0.03,3.18,0.58,1.44,,,1.2,Ounce-weight,34.02,,0.31,0.13,,3.18,0.58,0,,1.11,0.34,1.16,0.03,0.01,0,0.01,0,0,30.31,0.68,0.03,0.07,0,0.34,0.02,0.01,0.04,0.12,0.04,0,1.19,2.52,0,0,0.01,6.46,6.46,0.14,0.04,7.82,0,0.01,0,0.68,0.07,3.4,0.04,1.7,9.87,49.67,0.17,1.36,0.06,0,0,0,0,2.08
shallots,6.78,0.24,0.01,1.58,0.3,0.74,,,0.332,Ounce-weight,9.41,,0.08,0.01,,1.58,0.3,0,,0,0,0.54,0.01,0,0,0,0,0,7.51,0.38,0.02,0.04,0,0.28,0.01,0,0.02,0.06,0.03,0,0,0.75,0,0,0,3.2,3.2,0.08,0.03,3.48,0,0.01,0,0,0.11,1.98,0.03,0.47,5.65,31.44,0.11,1.13,0.04,0,0,0,0,1.06
brown mushrooms,4.99,0.57,0.02,0.98,0.14,0.39,,,0.05,Pound,22.68,,0.2,0.03,,0.98,0.14,0,,0,0,0.45,0.02,0,0,0.01,0,0,20.89,0,0,0,0,0,0.02,0.11,0.86,1.07,0.02,0.02,0,0,0.68,0.02,0,5.67,5.67,0,0.34,4.08,0,0.11,0,0,0.09,2.04,0.03,0,27.22,101.6,5.9,1.36,0.25,0,0.01,0,0,5.01
shiitake mushrooms,7.71,0.51,0.11,1.54,0.57,0.54,,,0.05,Pound,22.68,,1,0,,1.54,0.57,0,,0.54,0,0.43,0.11,0,0,0,0,0,20.35,0,0,0,0,0,0,0.05,0.88,0.91,0.07,0,0,0,4.08,0.09,0,2.95,2.95,0,0.34,0.45,0,0.03,0,0,0.09,4.54,0.05,0,25.4,68.95,1.29,2.04,0.23,0,0,0,0,0
white cooking wine,4,0,0,0,0,0,,,0.025,Cup,6,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0.57,0,0
olive oil,47.74,0,5.4,0,0,0,,,0.2,Fluid ounce,5.4,,47.74,6.71,,0,0,0,,0,0,0,5.4,0.75,3.94,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,3.25,0,0.05,0,0,0,0,0.03,0,0,0,0,0.05,0,0.11,0,0.04,0.53,0,0,0.02
chives,10.49,0.68,0.11,1.67,0.91,0,,,0.1,Ounce-weight,2.83,,1.02,0,,1.67,0.91,0,,0,0,0,0.11,0,0,0,0,0,0.13,737.94,36.9,73.79,0,442.76,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,30.33,0,0,0,0,0.38,0,0,0,0,0,0,2.86,0,0,0,0,0,0
lemon juice,1.34,0.02,0.01,0.42,0.02,0.15,,,0.2,Fluid ounce,6.1,,0.13,0.02,,0.42,0.02,0.01,,0.13,0.03,0.25,0.01,0,0,0,0,0,5.63,0.37,0.02,0.04,0,0.06,0,0,0.01,0.01,0,0,0.02,2.36,0,0,0.01,1.22,1.22,0,0.01,0.37,0,0,0,0,0,0.37,0,0,0.49,6.28,0.01,0.06,0,0,0,0,0,0.31
rosemary,0.74,0.02,0.03,0.12,0.08,0,,,0.02,Ounce-weight,0.57,,0.3,0.14,,0.12,0.08,0,,0,0,0,0.03,0.02,0.01,0.01,0,0,0.38,16.58,0.83,1.66,0,0,0,0,0.01,0.01,0,0,0,0.12,0,0,0,0.62,0.62,0,0,1.8,0,0,0,0,0.04,0.52,0.01,0,0.37,3.79,0,0.15,0.01,0,0,0,0,0
thyme,0.57,0.03,0.01,0.14,0.08,0,,,0.02,Ounce-weight,0.57,,0.09,0.02,,0.14,0.08,0,,0,0,0,0.01,0,0,0,0,0,0.37,26.94,1.35,2.69,0,16.16,0,0,0.01,0.02,0,0,0,0.91,0,0,0,0.26,0.26,0,0,2.3,0,0,0,0,0.1,0.91,0.01,0,0.6,3.45,0,0.05,0.01,0,0,0,0,0
black pepper,1.42,0.06,0.02,0.36,0.14,0,,,0.02,Ounce-weight,0.57,,0.17,0.07,,0.36,0.14,0,,0,0,0.22,0.02,0.01,0,0.01,0,0,0.07,3.1,0.16,0.31,0,1.76,0,0,0.01,0.01,0,0,0,0,0,0,0.01,0.1,0.1,0.93,0.01,2.51,0.09,0.01,0,0,0.06,0.97,0.07,0,0.9,7.54,0.03,0.11,0.01,0,0,0,0,0.06
cashews,118.75,3.71,8.91,5.94,0.74,1.48,,,0.73304,Ounce-weight,20.78,,80.16,13.36,,5.94,0.74,0,,0,0,3.71,8.91,1.48,5.2,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.84,0,0,0,0,1.34,0,0,0,0,0,0,3.71,0,0,0,0,0,0
water,0,0,0,0,0,0,,,0.06664,Cup,15.78,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0.01,0,0,0.16,0,0,0,0,0,0.63,0,0,0,0,0,0
Euphebe Organic Vegetable Stock,13.79,0.69,0,2.76,0.69,2.07,,,5.76,Fluid ounce,163.17,,0,0,,2.76,0.69,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sea salt,,,,,,,,,0.056,ounce-weight,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.86,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemary Oat Crumble,153.26,3.28,10.06,14.03,3.06,0,,Lunch Side,1,Serving,47.7,,89.37,11.72,,14.03,3.06,0.3,,0,0,10.93,10.06,1.3,5.41,1.52,0,0,18.42,7.25,0.36,0.73,0,0,0.09,0,0,0,0,0,0,0.1,0,0,1.03,0.52,0.52,4.33,0,22.76,0,0,0.01,0,1.2,0.56,0,0,0.12,63.71,0.01,101.14,0.01,0.78,0.7,0,0,0.02
oat flour,70.87,2.36,1.77,12.4,1.77,0,,,0.625,Ounce-weight,17.72,,15.95,2.66,,12.4,1.77,0,,0,0,10.63,1.77,0.3,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81,0,0,0,0,0.85,0,0,0,0,62.01,0,0,0,0,0,0,0,0
flax seed meal,18.17,0.91,1.06,1.51,1.21,0,,,0.138889,Ounce-weight,3.94,,9.54,0,,1.51,1.21,0.3,,0,0,0.3,1.06,0,0.15,0.76,0,0,0,1.93,0.1,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.15,0,0,0,0,0.26,0,0,0,0,0,0,1.51,0,0.73,0,0,0,0
rosemary,0.56,0.01,0.03,0.11,0.07,0,,,0.047222,Tablespoon,0.17,,0.23,0.11,,0.11,0.07,0,,0,0,0,0.03,0.01,0.01,0,0,0,0.02,5.32,0.27,0.53,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.52,0.52,0,0,2.18,0,0,0,0,0.05,0.37,0,0,0.12,1.62,0.01,0.09,0.01,0,0,0,0,0
water,0,0,0,0,0,0,,,0.019444,Quart,18.42,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0.01,0,0,0.18,0,0,0,0,0,0.74,0,0,0,0,0,0
olive oil,63.65,0,7.2,0,0,0,,,0.008333,Quart,7.2,,63.65,8.95,,0,0,0,,0,0,0,7.2,0.99,5.25,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,4.33,0,0.07,0,0,0,0,0.04,0,0,0,0,0.07,0,0.14,0,0.05,0.7,0,0,0.02
sea salt,,,,,,,,,0.009,ounce-weight,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.66,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremini & Shiitake Mushroom Soup and Rosemary Oat Crumble,479.31,16.04,25.13,49.47,16.99,7.22,,,,,388.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
